Date,Close
2017-01-03,90.89
2017-01-04,89.89
2017-01-05,88.55
2017-01-06,88.5
2017-01-09,87.04
2017-01-10,85.93
2017-01-11,86.81
2017-01-12,86.34
2017-01-13,86.35
2017-01-17,87.36
2017-01-18,86.28
2017-01-19,84.73
2017-01-20,85.89
2017-01-23,84.97
2017-01-24,85.09
2017-01-25,85.34
2017-01-26,85.6
2017-01-27,85.51
2017-01-30,84.86
2017-01-31,83.89
2017-02-01,82.94
2017-02-02,83.45
2017-02-03,83.54
2017-02-06,83.31
2017-02-07,82.77
2017-02-08,81.48
2017-02-09,81.84
2017-02-10,82.52
2017-02-13,83
2017-02-14,82.82
2017-02-15,83.16
2017-02-16,82.3
2017-02-17,81.76
2017-02-21,81.89
2017-02-22,80.93
2017-02-23,81.78
2017-02-24,81.08
2017-02-27,81.54
2017-02-28,81.32
2017-03-01,83.02
2017-03-02,83.3
2017-03-03,82.46
2017-03-06,82.83
2017-03-07,82.52
2017-03-08,81.03
2017-03-09,81.67
2017-03-10,81.61
2017-03-13,81.42
2017-03-14,80.99
2017-03-15,82
2017-03-16,82.07
2017-03-17,82
2017-03-20,82
2017-03-21,81.83
2017-03-22,81.76
2017-03-23,81.86
2017-03-24,81.23
2017-03-27,81.25
2017-03-28,81.84
2017-03-29,82.02
2017-03-30,83.7
2017-03-31,82.01
2017-04-03,82.07
2017-04-04,82.37
2017-04-05,82.53
2017-04-06,83.01
2017-04-07,82.76
2017-04-10,83.13
2017-04-11,82.84
2017-04-12,82.97
2017-04-13,81.69
2017-04-17,81.58
2017-04-18,81.05
2017-04-19,80.49
2017-04-20,81.01
2017-04-21,80.69
2017-04-24,81.11
2017-04-25,81.73
2017-04-26,81.4
2017-04-27,81.26
2017-04-28,81.65
2017-05-01,82.06
2017-05-02,82.05
2017-05-03,82.7
2017-05-04,81.64
2017-05-05,82.02
2017-05-08,82.89
2017-05-09,82.31
2017-05-10,81.91
2017-05-11,82.61
2017-05-12,82.55
2017-05-15,82.8
2017-05-16,82.55
2017-05-17,81.99
2017-05-18,81.75
2017-05-19,81.93
2017-05-22,82.29
2017-05-23,82.58
2017-05-24,82.29
2017-05-25,81.75
2017-05-26,81.55
2017-05-30,81.1
2017-05-31,80.5
2017-06-01,80.7
2017-06-02,79.5
2017-06-05,80.12
2017-06-06,81.21
2017-06-07,80.91
2017-06-08,80.62
2017-06-09,82.13
2017-06-12,82.93
