Date,Close
2017-01-03,31.26
2017-01-04,31.54
2017-01-05,31.84
2017-01-06,31.72
2017-01-09,31.71
2017-01-10,31.68
2017-01-11,31.1
2017-01-12,30.88
2017-01-13,30.81
2017-01-17,30.37
2017-01-18,30.34
2017-01-19,30.03
2017-01-20,30.1
2017-01-23,29.8
2017-01-24,29.51
2017-01-25,29.64
2017-01-26,29.63
2017-01-27,29.77
2017-01-30,29.66
2017-01-31,30.06
2017-02-01,30
2017-02-02,30.06
2017-02-03,30.4
2017-02-06,30.53
2017-02-07,30.39
2017-02-08,30.45
2017-02-09,30.67
2017-02-10,30.65
2017-02-13,30.89
2017-02-14,31.03
2017-02-15,31.75
2017-02-16,31.85
2017-02-17,31.85
2017-02-21,31.85
2017-02-22,31.82
2017-02-23,32.27
2017-02-24,32.46
2017-02-27,32.47
2017-02-28,32.32
2017-03-01,32.61
2017-03-02,32.69
2017-03-03,32.7
2017-03-06,32.54
2017-03-07,32.2
2017-03-08,32.12
2017-03-09,32.26
2017-03-10,32.31
2017-03-13,32.31
2017-03-14,32.42
2017-03-15,32.81
2017-03-16,32.62
2017-03-17,32.51
2017-03-20,32.57
2017-03-21,32.45
2017-03-22,32.65
2017-03-23,32.48
2017-03-24,32.21
2017-03-27,32.38
2017-03-28,32.36
2017-03-29,32.52
2017-03-30,32.54
2017-03-31,32.41
2017-04-03,32.44
2017-04-04,32.53
2017-04-05,32.39
2017-04-06,32.31
2017-04-07,32.3
2017-04-10,32.25
2017-04-11,32.14
2017-04-12,32.13
2017-04-13,32.1
2017-04-17,32.21
2017-04-18,32.06
2017-04-19,31.84
2017-04-20,31.96
2017-04-21,31.87
2017-04-24,31.96
2017-04-25,31.98
2017-04-26,32.07
2017-04-27,32.08
2017-04-28,32.13
2017-05-01,32
2017-05-02,31.84
2017-05-03,31.71
2017-05-04,31.69
2017-05-05,31.72
2017-05-08,31.69
2017-05-09,31.62
2017-05-10,31.29
2017-05-11,31.3
2017-05-12,31.27
2017-05-15,31.38
2017-05-16,30.88
2017-05-17,30.53
2017-05-18,30.52
2017-05-19,30.75
2017-05-22,30.43
2017-05-23,30.45
2017-05-24,30.36
2017-05-25,30.47
2017-05-26,30.45
2017-05-30,30.44
2017-05-31,30.93
2017-06-01,30.99
2017-06-02,30.83
2017-06-05,30.65
2017-06-06,30.38
2017-06-07,30.31
2017-06-08,30.08
2017-06-09,31.04
2017-06-12,30.98
2017-06-13,30.86
2017-06-14,30.97
2017-06-15,31.08
2017-06-16,31.23
2017-06-19,31.47
2017-06-20,31.79
2017-06-21,32.1
2017-06-22,32.27
2017-06-23,32.37
2017-06-26,32.25
2017-06-27,31.99
2017-06-28,31.97
2017-06-29,31.86
2017-06-30,31.82
2017-07-03,32.04
2017-07-05,31.87
2017-07-06,31.47
2017-07-07,31.59
2017-07-10,31.65
2017-07-11,31.42
2017-07-12,31.47
2017-07-13,31.53
2017-07-14,31.67
2017-07-17,31.5
2017-07-18,31.6
2017-07-19,31.85
2017-07-20,31.77
2017-07-21,31.72
2017-07-24,31.57
2017-07-25,31.36
